left,top,width,height,conf,text,page
752.8,867.4,126.6,50.6,47.6,s— MENDHAM o y —,1
1914.57,1056.43,131.86,48.86,68.14,% LISTA HU¡V PARA AMISTOSOS ANT[E —,1
251.86,2083.29,163.0,62.14,66.43,RECORTEN LA SANCIÓN AT AZUCAR . >,1
223.75,144.5,57.75,41.5,69.5,2 — (AL DÍA),2
471.8,385.6,144.6,63.8,88.2,¿QUE TIPO DE PADRE ERES?,2
532.2,1109.22,69.07,28.73,88.9,"i amigo, el fotógrafo Gary, llegó al restaurante por un tirado de pescado al olivo, un chauna de mariscos a lo macho y una jarrita de chicha morada fría. ”María, ser pa— dre es una bendición pero también una gran responsabili— dad, pues debemos criar bien a nuestros hijos, con discipli— na y amor. De eso dependerá que sean buenas personas, que logren la felicidad y sean exitosos. Algunos expertos señalan que hay siete tipos de padres, que se encuentran en dos grandes grupos: los que fomentan una actitud po— sativa (saben escuchar, comunicar, poner límites) y los que fomentan actitudes tiranos [padres nós ee ea manipuladores). La pregunta es ¿qué tipo de padres so— mos? Nadie es perfecto y por eso debemos esforzarnos para mejorar día a día y así ser mejores padres. © Autoritarios: Imponen y ejercen gran control y autori— dad sobre sus hijos. Dicen 'esto se hace porque yo lo sin dar ninguna razón. Los hijos de estos padres tienden a estar deprimidos o se vuelven tiranos. Permisivos: El control que ejercen sobre los hijos es escaso o inexistente. Les permiten hacer o les dan lo que deseen, por lo que los niños se pueden volver pequeños tiranos Eso afectará su vida social en el futuro. e Limitan a sus hijos o les impiden conocer el mundo porque tienen un miedo excesivo a que algo malo les pase. Además, cuando su hijo comete un error siempre lo justifican. El resultado será que estos ni— nos se vuelven inseguros y sientan que valen poco. » Se comportan como 'patas' de sus hijos y acostumbran ser bastante permisivos con ellos. No esta— lleven límites claros ni jerarquías. Esto hace que el hijo se sienta superior y la consecuencia es que tendrá actitudes tratas y sin control. » Acostumbran chantajear a sus hijos [Ies prometen y les dan regalos) para que de desean. La consecuencia es que los hijos creerán que esto",2
416.79,1810.93,67.79,29.07,90.29,"está bien y, por lo tanto, también chantajearon para con— seguir lo que desean.",2
519.18,2112.23,64.66,28.56,89.75,"[+] s Los padres no logran ponerse de acuerdo sobre lo que es mejor para sus hijos. Se da muchas veces en padres divorciados. Cuando el niño acude a la madre o al padre y recibe una negativa, busca al otro en busca de un Esta situación provoca discusiones en la pareja y genera inestabilidad en el niño. Empáticos: Tienen la capacidad de ponerse en los za— patos de su hijo y les ayudan a hacer frente a sentimientos negativos como el miedo, la tristeza o la rabia. Logran es— establecer con sus hijos una relación de confianza y sinceri— dad, además de poder enseñarles. El resultado es que los hijos tendrán mayor control sobre sus emociones”. Mi amigo Gary tiene razón, lo ideal es lograr el equilibrio entre la disciplina y el amor. Me voy, cuídense.",2
276.29,2533.71,93.14,25.0,88.43,SAN JUDAS TADEO SENOR DE LOS MILAGROS,2
286.55,2602.55,70.55,30.0,86.36,Gracias por los milagros concedidos. Ayúdame con lo de la casa.,2
