left,top,width,height,conf,text,page
1345.5,211.0,101.0,67.5,59.75,l o DE MAY013EL,1
1569.25,399.0,78.75,31.75,68.0,QUO_UU AÉREA S 1.00,1
1083.6,843.0,553.8,64.2,55.2,I…Ulilúll OÍZJIU]E©C$©BW GOR |(ECIIEL CABEZANIDIEERENTESIPARIESIDENCUERRO,1
1833.31,1017.62,88.21,40.28,57.38,(|A(lll.=¡si:10 á_? Kl nn&n¡ana |E'¡5'¡¡1!oto*a 'zo:%oo| Il3%íífíam…a'est |unto;a lla í_] allic a|l ni l:n 1 [ulgary¡llamo monocelular [g£f9£é?&&?&%ñaen <:__)ngjresamn F unlost g l]a¿1¿¡|eatt:epaglsnfonnane ea ícuefl%4 i paron juna habitación. gs aba[m%fta,1
1191.67,1747.0,227.0,71.33,49.5,cuáles E©UARMRB©ZJA¿ EESWN©£©N ¡ 1 WSEJI.F_U,1
1407.73,2151.27,140.45,48.73,58.91,"HERMANA SOSPECHOSO =, it rd | ? VA €t_…%;lyoa PARA CORONAVIRUS",1
277.64,353.73,109.73,57.73,89.09,Hija de Salma — Hayes es millonaria a los 12 años,10
353.65,650.62,65.92,25.22,88.82,"G» A sus 12 años, Valentina Paloma, hija pri— congénita de la estrella de Hollywood (Estados Unidos) Salma Hayek, se encuentra en la lista de ”los niños más ricos del planeta”, pues es dueña de una fortuna que alcanza los 12 millones de dólares. La pequeña tiene doble nacionalidad, habla tres idiomas y su padre es el empresario francés Francois—Henri Pinault. Valentina ya ha incursionado en el cine como actriz de doblaje.",10
557.5,907.5,36.88,25.0,48.12,"N A L))|| u|,.,4.¡ _d'¡|Xxl ')/ ni",10
426.5,1498.0,123.5,38.0,73.5,este Lunes las solicitudes,10
355.0,2041.0,34.75,34.0,38.5,(e 0 N ol,10
351.75,2349.25,31.62,27.5,53.62,quee el ss y e smell ple el,10
1175.17,157.33,79.83,24.67,90.83,SÁBADO 16 DE MAYO DEL 2020,10
1436.56,434.22,41.44,21.33,39.78,en mn cites los Chet les popantees: ei ie,10
1408.33,563.33,66.0,24.67,47.17,ie los: porciones ell pe spue tito em,10
1069.0,2225.0,67.5,29.75,47.5,s a les sib pu it enties s,10
1135.25,2431.75,32.0,31.75,55.0,a ets que a,10
1791.0,506.0,151.0,64.0,74.5,Subastan 11| de Michael,10
1879.52,770.09,61.43,25.87,88.17,"La casa de subastas €9 Sotheby's pondrá a la venta este domingo las icó— nicas zapatillas Nike Air 15, que fueron usadas por",10
1854.56,989.44,60.12,23.81,90.25,"tención, desde este lunes 18 de mayo los afiliados a las Adminis— adoras de Fondos de",10
1814.34,1341.83,48.55,24.41,90.66,"Pensiones (AFP) podrán solici— tar el retiro de hasta el 25%, con topes (de 4 mil 300 a 12 mil 900 soles), de sus aportes, según ley promulgada por el Congreso. Pero, ¿cuál es el monto al que pueden acceder? Si el saldo de su fondo es de 4 mil soles podrá sacar el 100%, en una sola armada y a diez días de la petición. En caso su fondo esté entre 4 mil 300 y 17 mil 200 soles pue— de retirar 4 mil 300; si tiene de 17 mil 200 a 51 mil 600 sacará el 25%; y si cuenta con más de 51 mil 600 obtendrá",10
2307.28,539.11,60.32,24.39,88.77,"la leyenda del baloncesto Michael Jordan en algunos partidos con los Chicago Bilis (Estados Unidos) y que autografió con un plumón inde— leble, en el año El precio de salida de este artículo deporti— vo oscilar entre los 100 mil y 150 mil dólares, aun— que no se descarta que pueda superar el medio millón de [",10
2265.52,1253.56,63.53,24.57,88.11,"Para estos tres últimos casos, la forma de pago será la siguien— te: 50% en un plazo máximo de diez días después de presenta— da la solicitud y el otro 50% se entregará a 30 días del primer desembolso. RECOMENDACIONES Según especialistas, es reco— mendarle retirar el 25% de la AFP si el afiliado no tiene la sufi— siente liquidez para cubrir sus necesidades básicas, si se que— dó sin trabajo y para pagar deudas. Mientras que no es recomen— darle que lo hagan aquellos trabajadores que tienen traba— jo estable, pues sacar ese E E r n pensión a futuro. (Jorge Salazar]",10
